StockCode,gap_start,gap_end,gap_weeks,weeks_before,weeks_after
10120,2010-04-05,2010-04-19,3,11,31
10120,2010-06-14,2010-06-28,3,14,28
10120,2010-07-12,2010-09-06,9,15,27
10120,2010-12-13,2011-02-07,9,24,18
10120,2011-04-04,2011-05-02,5,28,14
10120,2011-05-23,2011-06-27,6,30,12
10120,2011-07-11,2011-07-25,3,31,11
10123C,2010-07-19,2010-08-02,3,22,13
10124A,2010-10-25,2010-11-08,3,10,6
10124A,2010-12-13,2011-01-31,8,12,4
10125,2010-04-12,2010-05-03,4,14,57
10125,2010-05-17,2010-05-31,3,15,56
10125,2010-08-02,2010-08-23,4,23,48
10125,2011-01-24,2011-02-21,5,42,29
10134,2010-05-17,2010-05-31,3,16,13
10134,2010-08-16,2010-08-30,3,22,7
11001,2011-01-17,2011-01-31,3,48,39
15030,2010-08-09,2010-09-06,5,11,13
15030,2010-09-27,2010-10-18,4,13,11
15030,2010-11-01,2011-03-14,20,14,10
15030,2011-03-28,2011-06-20,13,15,9
15030,2011-07-25,2011-08-08,3,19,5
15030,2011-08-22,2011-09-19,5,20,4
15044A,2010-08-30,2010-09-13,3,34,47
15044A,2010-12-27,2011-01-10,3,44,37
15044A,2011-09-26,2011-10-10,3,74,7
15044B,2010-09-13,2010-10-04,4,36,33
15044B,2010-12-13,2011-01-10,5,44,25
15044C,2010-12-27,2011-01-10,3,48,36
15044C,2011-02-07,2011-02-21,3,50,34
15044D,2010-11-15,2010-11-29,3,46,37
15044D,2010-12-13,2011-01-10,5,47,36
15044D,2011-02-07,2011-02-21,3,50,33
15044D,2011-08-08,2011-08-22,3,70,13
15058A,2010-08-30,2010-11-29,14,22,32
15058A,2010-12-13,2011-02-21,11,23,31
15058B,2010-07-19,2010-08-02,3,22,33
15058B,2010-08-23,2010-11-08,12,24,31
15058B,2010-12-13,2011-01-17,6,28,27
15058B,2011-01-31,2011-02-21,4,29,26
15058C,2010-08-23,2010-09-13,4,22,29
15058C,2010-09-27,2010-11-01,6,23,28
15058C,2010-11-15,2011-01-24,11,24,27
15058C,2011-02-07,2011-02-21,3,25,26
15058C,2011-03-21,2011-04-04,3,27,24
16008,2010-12-20,2011-01-31,7,14,29
16008,2011-02-14,2011-02-28,3,15,28
16008,2011-03-14,2011-03-28,3,16,27
16008,2011-05-02,2011-05-23,4,18,25
16011,2010-08-30,2010-09-13,3,28,39
16011,2010-12-20,2011-01-03,3,40,27
16011,2011-02-14,2011-03-07,4,43,24
16012,2010-04-05,2010-05-17,7,10,41
16012,2010-05-31,2010-06-14,3,11,40
16012,2010-06-28,2010-07-12,3,12,39
16012,2010-08-02,2010-08-16,3,14,37
16012,2010-12-20,2011-01-03,3,29,22
16012,2011-08-01,2011-09-19,8,45,6
16012,2011-10-03,2011-10-24,4,46,5
16014,2010-04-26,2010-05-31,6,13,47
16014,2010-09-20,2010-10-04,3,24,36
16014,2010-12-20,2011-01-17,5,32,28
16014,2011-07-18,2011-08-01,3,47,13
16015,2010-04-26,2010-05-24,5,13,41
16015,2010-12-20,2011-01-17,5,35,19
16015,2011-06-20,2011-08-01,7,48,6
16015,2011-08-29,2011-09-26,5,50,4
16016,2010-12-20,2011-01-03,3,35,34
16020C,2010-07-12,2010-08-02,4,8,16
16020C,2010-11-15,2011-02-21,15,17,7
16020C,2011-03-07,2011-03-28,4,18,6
16020C,2011-04-11,2011-05-30,8,19,5
16045,2011-03-07,2011-03-21,3,8,28
16045,2011-04-04,2011-05-30,9,9,27
16046,2010-03-08,2010-04-05,5,11,31
16046,2010-05-10,2010-06-14,6,15,27
16046,2010-09-06,2010-09-20,3,21,21
16046,2010-12-13,2011-01-24,7,31,11
16046,2011-02-07,2011-03-07,5,32,10
16046,2011-04-11,2011-04-25,3,34,8
16046,2011-05-23,2011-06-13,4,36,6
16046,2011-07-11,2011-08-15,6,38,4
16047,2010-04-05,2010-04-19,3,10,12
16047,2010-05-10,2010-07-05,9,12,10
16048,2010-04-26,2010-05-10,3,11,47
16048,2010-09-06,2010-09-20,3,21,37
16048,2010-10-25,2010-11-08,3,23,35
16048,2011-01-10,2011-02-07,5,29,29
16048,2011-03-07,2011-03-21,3,31,27
16048,2011-05-09,2011-05-23,3,35,23
16049,2010-04-26,2010-05-17,4,12,8
16049,2010-05-31,2010-06-21,4,13,7
16049,2010-07-26,2010-08-30,6,15,5
16049,2010-09-13,2010-10-25,7,16,4
16052,2010-06-28,2010-07-12,3,10,17
16052,2010-09-20,2010-10-25,6,15,12
16052,2010-12-13,2011-01-03,4,19,8
16052,2011-01-31,2011-02-14,3,21,6
16052,2011-02-28,2011-04-11,7,22,5
16156L,2010-06-21,2010-07-12,4,9,24
16156L,2010-08-09,2010-09-06,5,11,22
16156L,2010-10-18,2010-11-08,4,15,18
16156L,2010-11-22,2010-12-27,6,16,17
16156L,2011-01-31,2011-02-14,3,18,15
16156L,2011-03-07,2011-03-21,3,20,13
16156L,2011-08-01,2011-08-29,5,29,4
16161G,2010-11-01,2010-11-22,4,10,18
16161G,2010-12-06,2011-03-07,14,11,17
16161G,2011-04-11,2011-05-02,4,13,15
16161G,2011-05-30,2011-06-13,3,16,12
16161G,2011-08-08,2011-08-29,4,21,7
16161M,2010-05-03,2010-06-07,6,16,14
16161M,2010-07-19,2010-08-02,3,19,11
16161P,2010-03-22,2010-05-17,9,12,77
16162L,2010-04-05,2010-05-10,6,12,13
16162L,2010-05-24,2010-06-14,4,13,12
16162L,2010-07-05,2010-08-02,5,15,10
16162L,2010-08-16,2010-09-20,6,16,9
16162L,2010-10-04,2011-01-03,14,17,8
16162L,2011-01-17,2011-05-30,20,18,7
16162L,2011-06-20,2011-07-11,4,20,5
16168M,2010-08-16,2010-09-20,6,28,36
16168M,2010-12-13,2010-12-27,3,38,26
16168M,2011-03-07,2011-03-28,4,44,20
16168M,2011-04-25,2011-05-09,3,46,18
16168M,2011-07-25,2011-08-22,5,55,9
16168M,2011-09-19,2011-10-10,4,58,6
16169K,2010-05-31,2010-06-14,3,10,24
16169K,2010-07-05,2010-07-26,4,12,22
16169K,2010-12-13,2010-12-27,3,28,6
16169M,2010-05-03,2010-05-24,4,11,32
16169M,2010-06-07,2010-06-28,4,12,31
16169M,2010-07-12,2010-07-26,3,13,30
16169M,2010-09-06,2010-09-20,3,18,25
16169M,2010-10-11,2010-12-27,12,20,23
16169M,2011-01-17,2011-01-31,3,22,21
16169M,2011-06-20,2011-08-08,8,34,9
16169M,2011-09-26,2011-10-24,5,39,4
16169N,2010-04-26,2010-05-10,3,13,16
16169N,2010-07-05,2010-07-26,4,17,12
16202A,2010-07-12,2010-07-26,3,10,8
16202A,2010-08-23,2010-09-20,5,13,5
16202B,2010-06-14,2010-06-28,3,9,11
16207A,2010-09-06,2010-10-04,5,20,19
16207A,2010-10-18,2010-12-06,8,21,18
16207A,2010-12-20,2011-01-31,7,22,17
16207B,2010-08-02,2010-11-01,14,8,12
16207B,2010-11-15,2011-01-03,8,9,11
16207B,2011-01-17,2011-03-28,11,10,10
16207B,2011-04-11,2011-04-25,3,11,9
16212,2010-05-31,2010-06-14,3,17,10
16212,2010-08-23,2010-09-06,3,21,6
16216,2010-04-05,2010-04-19,3,8,45
16216,2010-12-20,2011-01-24,6,30,23
16216,2011-07-25,2011-09-12,8,44,9
16218,2010-04-05,2010-05-17,7,8,44
16218,2010-07-19,2010-08-02,3,14,38
16218,2010-09-20,2010-10-04,3,18,34
16218,2010-10-18,2010-11-08,4,19,33
16218,2010-12-13,2011-01-31,8,23,29
16218,2011-02-14,2011-02-28,3,24,28
16218,2011-04-04,2011-04-18,3,26,26
16219,2010-05-24,2010-06-07,3,9,52
16219,2010-07-05,2010-08-02,5,12,49
16219,2010-12-20,2011-01-10,4,26,35
16219,2011-04-04,2011-04-18,3,35,26
16219,2011-05-02,2011-05-30,5,36,25
16225,2010-04-12,2010-04-26,3,12,49
16225,2010-06-21,2010-07-19,5,17,44
16225,2011-02-21,2011-04-11,8,38,23
16225,2011-04-25,2011-05-16,4,39,22
16236,2011-06-06,2011-06-20,3,67,23
16238,2010-07-26,2010-08-09,3,25,61
16244B,2010-03-22,2010-04-26,6,11,4
16254,2010-11-22,2011-06-06,29,10,14
16254,2011-06-27,2011-07-11,3,12,12
16254,2011-09-12,2011-09-26,3,17,7
16258A,2010-06-28,2010-07-26,5,14,38
16258A,2010-12-13,2010-12-27,3,27,25
16258A,2011-01-24,2011-02-21,5,30,22
16258A,2011-03-14,2011-03-28,3,32,20
16258A,2011-04-11,2011-05-02,4,33,19
16258A,2011-05-23,2011-06-13,4,35,17
16258A,2011-08-08,2011-08-22,3,40,12
16259,2010-05-17,2010-05-31,3,10,27
16259,2010-06-28,2010-08-09,7,12,25
16259,2010-08-23,2010-09-20,5,13,24
16259,2010-11-29,2011-03-07,15,18,19
16259,2011-04-25,2011-05-09,3,21,16
17001,2010-04-12,2010-05-31,8,8,8
17001,2010-06-14,2010-08-09,9,9,7
17001,2010-08-23,2010-09-27,6,10,6
17011F,2010-09-13,2010-10-04,4,9,10
17011F,2010-10-18,2010-11-08,4,10,9
17011F,2010-12-20,2011-01-10,4,14,5
17011F,2011-01-24,2011-03-28,10,15,4
17012A,2010-05-31,2010-07-05,6,8,45
17012A,2010-07-26,2010-08-09,3,10,43
17012A,2010-08-23,2010-10-04,7,11,42
17012A,2011-01-24,2011-02-21,5,25,28
17012A,2011-03-28,2011-04-11,3,29,24
17012B,2010-07-26,2010-08-09,3,9,49
17012B,2010-08-30,2010-09-20,4,11,47
17012C,2010-05-31,2010-07-12,7,8,52
17012C,2010-07-26,2010-08-09,3,9,51
17012C,2010-09-06,2010-09-20,3,11,49
17012C,2011-05-09,2011-05-30,4,37,23
17012D,2011-05-09,2011-06-06,5,27,23
17012F,2011-03-28,2011-04-11,3,23,26
17012F,2011-05-16,2011-05-30,3,27,22
17012F,2011-08-01,2011-08-15,3,34,15
17013D,2010-06-21,2010-07-19,5,10,17
17013D,2010-08-23,2010-10-04,7,12,15
17013D,2010-12-27,2011-01-10,3,19,8
17013D,2011-02-07,2011-02-28,4,22,5
17014A,2010-12-20,2011-02-21,10,8,6
17021,2010-05-17,2010-06-14,5,9,45
17021,2010-07-26,2010-08-16,4,13,41
17021,2011-02-28,2011-03-14,3,32,22
17021,2011-03-28,2011-04-11,3,33,21
17033,2010-05-17,2010-06-28,7,21,5
17033,2010-07-12,2010-08-09,5,22,4
17038,2010-07-19,2010-08-02,3,9,36
17038,2011-02-21,2011-03-21,5,24,21
17038,2011-04-04,2011-04-18,3,25,20
17038,2011-09-12,2011-10-03,4,38,7
17084A,2010-10-18,2010-11-01,3,8,9
17084A,2010-11-29,2011-01-24,9,10,7
17084A,2011-03-14,2011-04-11,5,13,4
17084J,2010-06-07,2010-08-16,11,8,11
17084J,2010-08-30,2010-10-11,7,9,10
17084J,2010-12-13,2011-01-24,7,13,6
17084J,2011-02-07,2011-02-21,3,14,5
17084P,2010-06-21,2010-09-06,12,14,32
17084P,2010-09-27,2010-10-25,5,16,30
17084P,2010-12-13,2011-01-03,4,22,24
17084P,2011-03-28,2011-04-11,3,28,18
17084P,2011-04-25,2011-05-30,6,29,17
17084R,2010-08-23,2010-09-06,3,24,23
17084R,2010-09-20,2010-10-25,6,25,22
17084R,2010-12-20,2011-01-24,6,30,17
17084R,2011-02-07,2011-02-21,3,31,16
17084R,2011-03-14,2011-03-28,3,33,14
17084R,2011-06-20,2011-07-04,3,38,9
17084R,2011-07-18,2011-08-22,6,39,8
17090A,2010-06-28,2010-08-30,10,8,16
17090A,2010-10-25,2010-11-08,3,13,11
