StockCode,product,ABC,XYZ,class,revenue,units,weeks_active,cv,is_forecastable,revenue_rank,cumulative_revenue,cumulative_revenue_pct,sku_pct,policy_note
22423,REGENCY CAKESTAND 3 TIER,A,X,AX,331084.27,26519,90,0.702,1,1,331084.27,1.681,0.021,"Tight reorder point, low safety stock — forecast works"
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A,X,AX,261509.93,94839,104,0.609,1,2,592594.2,3.008,0.042,"Tight reorder point, low safety stock — forecast works"
85099B,JUMBO BAG RED RETROSPOT,A,X,AX,182999.67,97350,104,0.498,1,3,775593.87,3.937,0.064,"Tight reorder point, low safety stock — forecast works"
23843,"PAPER CRAFT , LITTLE BIRDIE",A,Z,AZ,168469.6,80995,1,10.149,0,4,944063.47,4.792,0.085,High revenue but erratic — expensive to protect
47566,PARTY BUNTING,A,Y,AY,148395.98,28216,103,0.886,1,5,1092459.45,5.546,0.106,"Moderate safety stock, review monthly"
84879,ASSORTED COLOUR BIRD ORNAMENT,A,Y,AY,129667.56,80285,104,0.903,1,6,1222127.01,6.204,0.127,"Moderate safety stock, review monthly"
22086,PAPER CHAIN KIT 50'S CHRISTMAS,A,Z,AZ,117869.44,35121,84,1.659,1,7,1339996.45,6.802,0.148,High revenue but erratic — expensive to protect
23166,MEDIUM CERAMIC TOP STORAGE JAR,A,Z,AZ,81700.92,78033,32,9.648,1,8,1421697.37,7.217,0.169,High revenue but erratic — expensive to protect
79321,CHILLI LIGHTS,A,Y,AY,80873.23,15918,97,1.255,1,9,1502570.6,7.627,0.191,"Moderate safety stock, review monthly"
22197,SMALL POPCORN HOLDER,A,Y,AY,79552.5,88537,104,1.132,1,10,1582123.1,8.031,0.212,"Moderate safety stock, review monthly"
22386,JUMBO BAG PINK POLKADOT,A,X,AX,76383.25,39466,97,0.667,1,11,1658506.35,8.419,0.233,"Tight reorder point, low safety stock — forecast works"
20725,LUNCH BAG RED RETROSPOT,A,X,AX,71394.49,40505,104,0.432,1,12,1729900.84,8.781,0.254,"Tight reorder point, low safety stock — forecast works"
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A,Z,AZ,71353.95,31430,77,3.456,1,13,1801254.79,9.144,0.275,High revenue but erratic — expensive to protect
85099F,JUMBO BAG STRAWBERRY,A,X,AX,69108.21,37113,103,0.703,1,14,1870363.0,9.494,0.296,"Tight reorder point, low safety stock — forecast works"
48138,DOORMAT UNION FLAG,A,Y,AY,67138.19,10095,102,1.001,1,15,1937501.19,9.835,0.318,"Moderate safety stock, review monthly"
23084,RABBIT NIGHT LIGHT,A,Z,AZ,66964.99,30788,31,3.206,1,16,2004466.18,10.175,0.339,High revenue but erratic — expensive to protect
20685,DOORMAT RED RETROSPOT,A,Y,AY,66464.71,9789,103,0.931,1,17,2070930.89,10.512,0.36,"Moderate safety stock, review monthly"
21137,BLACK RECORD COVER FRAME,A,Y,AY,65223.04,18748,99,1.32,1,18,2136153.93,10.844,0.381,"Moderate safety stock, review monthly"
21843,RED RETROSPOT CAKE STAND,A,Y,AY,65189.95,6155,104,0.924,1,19,2201343.88,11.174,0.402,"Moderate safety stock, review monthly"
21931,JUMBO STORAGE BAG SUKI,A,X,AX,61565.11,29196,104,0.455,1,20,2262908.99,11.487,0.423,"Tight reorder point, low safety stock — forecast works"
22502,PICNIC BASKET WICKER SMALL,A,Y,AY,60924.5,3774,69,1.245,1,21,2323833.49,11.796,0.445,"Moderate safety stock, review monthly"
21621,VINTAGE UNION JACK BUNTING,A,Y,AY,60405.04,6914,102,1.085,1,22,2384238.53,12.103,0.466,"Moderate safety stock, review monthly"
15056N,EDWARDIAN PARASOL NATURAL,A,Y,AY,60169.65,11463,104,1.15,1,23,2444408.18,12.408,0.487,"Moderate safety stock, review monthly"
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A,Y,AY,59328.74,11715,78,1.395,1,24,2503736.92,12.709,0.508,"Moderate safety stock, review monthly"
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,X,AX,59292.54,30733,104,0.533,1,25,2563029.46,13.01,0.529,"Tight reorder point, low safety stock — forecast works"
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,Z,AZ,58696.95,18649,50,1.724,1,26,2621726.41,13.308,0.55,High revenue but erratic — expensive to protect
22112,CHOCOLATE HOT WATER BOTTLE,A,Y,AY,58090.84,11087,104,1.259,1,27,2679817.25,13.603,0.572,"Moderate safety stock, review monthly"
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,X,AX,57440.91,27342,97,0.604,1,28,2737258.16,13.895,0.593,"Tight reorder point, low safety stock — forecast works"
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,Z,AZ,56809.03,9839,87,1.563,1,29,2794067.19,14.183,0.614,High revenue but erratic — expensive to protect
22470,HEART OF WICKER LARGE,A,Y,AY,53632.98,17816,77,1.304,1,30,2847700.17,14.456,0.635,"Moderate safety stock, review monthly"
22139,RETROSPOT TEA SET CERAMIC 11 PC,A,Y,AY,52971.71,10635,101,0.798,1,31,2900671.88,14.724,0.656,"Moderate safety stock, review monthly"
22178,VICTORIAN GLASS HANGING T-LIGHT,A,Y,AY,52607.72,40257,104,0.775,1,32,2953279.6,14.991,0.677,"Moderate safety stock, review monthly"
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,A,X,AX,52588.21,18697,104,0.714,1,33,3005867.81,15.258,0.699,"Tight reorder point, low safety stock — forecast works"
21212,PACK OF 72 RETROSPOT CAKE CASES,A,X,AX,51873.55,94972,104,0.527,1,34,3057741.36,15.522,0.72,"Tight reorder point, low safety stock — forecast works"
21733,RED HANGING HEART T-LIGHT HOLDER,A,Y,AY,50461.54,17614,104,1.022,1,35,3108202.9,15.778,0.741,"Moderate safety stock, review monthly"
22090,PAPER BUNTING RETROSPOT,A,Y,AY,50461.4,16708,104,0.77,1,36,3158664.3,16.034,0.762,"Moderate safety stock, review monthly"
21181,PLEASE ONE PERSON METAL SIGN,A,Y,AY,50299.84,24819,79,1.049,1,37,3208964.14,16.289,0.783,"Moderate safety stock, review monthly"
22111,SCOTTIE DOG HOT WATER BOTTLE,A,Y,AY,50007.59,9827,101,1.477,1,38,3258971.73,16.543,0.804,"Moderate safety stock, review monthly"
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,Y,AY,49685.27,25625,99,0.765,1,39,3308657.0,16.795,0.826,"Moderate safety stock, review monthly"
21232,STRAWBERRY CERAMIC TRINKET BOX,A,X,AX,49400.57,38077,104,0.682,1,40,3358057.57,17.046,0.847,"Tight reorder point, low safety stock — forecast works"
84946,ANTIQUE SILVER TEA GLASS ETCHED,A,X,AX,49391.65,36841,104,0.706,1,41,3407449.22,17.297,0.868,"Tight reorder point, low safety stock — forecast works"
22189,CREAM HEART CARD HOLDER,A,Z,AZ,49344.39,16197,96,1.659,1,42,3456793.61,17.547,0.889,High revenue but erratic — expensive to protect
15056BL,EDWARDIAN PARASOL BLACK,A,Z,AZ,48997.47,9666,104,1.75,1,43,3505791.08,17.796,0.91,High revenue but erratic — expensive to protect
22469,HEART OF WICKER SMALL,A,Y,AY,48974.71,27932,78,1.119,1,44,3554765.79,18.045,0.931,"Moderate safety stock, review monthly"
48194,DOORMAT HEARTS,A,Y,AY,48817.38,7738,104,1.377,1,45,3603583.17,18.293,0.953,"Moderate safety stock, review monthly"
21731,RED TOADSTOOL LED NIGHT LIGHT,A,Y,AY,48347.19,28929,103,0.845,1,46,3651930.36,18.538,0.974,"Moderate safety stock, review monthly"
