sku_a,product_a,sku_b,product_b,support,confidence,lift,strength,co_stock_rule,class_a
21086,SET/6 RED SPOTTY PAPER CUPS,21094,SET/6 RED SPOTTY PAPER PLATES,0.0194,0.7741,26.3572,very strong,1,AY
21094,SET/6 RED SPOTTY PAPER PLATES,21086,SET/6 RED SPOTTY PAPER CUPS,0.0194,0.6616,26.3572,very strong,1,AY
22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,0.0258,0.6391,20.8283,very strong,1,AY
22698,PINK REGENCY TEACUP AND SAUCER,22697,GREEN REGENCY TEACUP AND SAUCER,0.0258,0.8405,20.8283,very strong,1,AY
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.0213,0.6129,20.112,very strong,1,AY
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,0.0213,0.6993,20.112,very strong,1,AY
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,0.0191,0.6259,19.0284,very strong,1,AY
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.0191,0.5799,19.0284,very strong,1,AY
22699,ROSES REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,0.0242,0.5718,18.6374,very strong,1,AY
22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,0.0242,0.7899,18.6374,very strong,1,AY
82580,BATHROOM METAL SIGN,82581,TOILET METAL SIGN,0.0198,0.4955,18.204,very strong,1,AY
82581,TOILET METAL SIGN,82580,BATHROOM METAL SIGN,0.0198,0.7259,18.204,very strong,1,AY
22699,ROSES REGENCY TEACUP AND SAUCER,22697,GREEN REGENCY TEACUP AND SAUCER,0.0309,0.7282,18.0453,very strong,1,AY
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,0.0309,0.7648,18.0453,very strong,1,AY
22865,HAND WARMER OWL DESIGN,22866,HAND WARMER SCOTTY DOG DESIGN,0.0194,0.5359,16.6106,very strong,1,AZ
22866,HAND WARMER SCOTTY DOG DESIGN,22865,HAND WARMER OWL DESIGN,0.0194,0.6004,16.6106,very strong,1,AZ
22865,HAND WARMER OWL DESIGN,22867,HAND WARMER BIRD DESIGN,0.0186,0.5145,16.3847,very strong,1,AZ
22867,HAND WARMER BIRD DESIGN,22865,HAND WARMER OWL DESIGN,0.0186,0.5922,16.3847,very strong,1,AZ
22866,HAND WARMER SCOTTY DOG DESIGN,22867,HAND WARMER BIRD DESIGN,0.0166,0.5134,16.3516,very strong,1,AZ
22867,HAND WARMER BIRD DESIGN,22866,HAND WARMER SCOTTY DOG DESIGN,0.0166,0.5276,16.3516,very strong,1,AZ
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED,0.025,0.6603,16.2445,very strong,1,AY
22727,ALARM CLOCK BAKELIKE RED,22726,ALARM CLOCK BAKELIKE GREEN,0.025,0.6138,16.2445,very strong,1,AZ
23203,JUMBO BAG VINTAGE DOILY,23202,JUMBO BAG VINTAGE LEAF,0.0154,0.4195,15.9906,very strong,1,AZ
23202,JUMBO BAG VINTAGE LEAF,23203,JUMBO BAG VINTAGE DOILY,0.0154,0.587,15.9906,very strong,1,AZ
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,0.018,0.5185,15.763,very strong,1,AY
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,0.018,0.5481,15.763,very strong,1,AY
22629,SPACEBOY LUNCH BOX,22630,DOLLY GIRL LUNCH BOX,0.0247,0.6064,15.2428,very strong,1,AY
22630,DOLLY GIRL LUNCH BOX,22629,SPACEBOY LUNCH BOX,0.0247,0.6219,15.2428,very strong,1,AY
22728,ALARM CLOCK BAKELIKE PINK,22727,ALARM CLOCK BAKELIKE RED,0.0177,0.6136,15.0954,very strong,1,AZ
22727,ALARM CLOCK BAKELIKE RED,22728,ALARM CLOCK BAKELIKE PINK,0.0177,0.4361,15.0954,very strong,1,AZ
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,0.0159,0.421,14.5723,very strong,1,AY
22728,ALARM CLOCK BAKELIKE PINK,22726,ALARM CLOCK BAKELIKE GREEN,0.0159,0.5506,14.5723,very strong,1,AZ
82483,WOOD 2 DRAWER CABINET WHITE FINISH,82486,WOOD S/3 CABINET ANT WHITE FINISH,0.0184,0.5509,14.5565,very strong,1,AX
82486,WOOD S/3 CABINET ANT WHITE FINISH,82483,WOOD 2 DRAWER CABINET WHITE FINISH,0.0184,0.4866,14.5565,very strong,1,AX
22952,60 CAKE CASES VINTAGE CHRISTMAS,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.0158,0.4644,14.3289,very strong,1,AZ
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22952,60 CAKE CASES VINTAGE CHRISTMAS,0.0158,0.4871,14.3289,very strong,1,AZ
20972,PINK CREAM FELT CRAFT TRINKET BOX,20971,PINK BLUE FELT CRAFT TRINKET BOX,0.0195,0.4684,13.7314,very strong,1,AY
20971,PINK BLUE FELT CRAFT TRINKET BOX,20972,PINK CREAM FELT CRAFT TRINKET BOX,0.0195,0.5713,13.7314,very strong,1,AZ
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,84970S,HANGING HEART ZINC T-LIGHT HOLDER,0.0203,0.5963,13.1446,very strong,1,AX
84970S,HANGING HEART ZINC T-LIGHT HOLDER,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,0.0203,0.448,13.1446,very strong,1,AX
84378,SET OF 3 HEART COOKIE CUTTERS,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,0.0158,0.4238,12.7565,very strong,1,AY
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,84378,SET OF 3 HEART COOKIE CUTTERS,0.0158,0.4744,12.7565,very strong,1,AY
22554,PLASTERS IN TIN WOODLAND ANIMALS,22551,PLASTERS IN TIN SPACEBOY,0.0185,0.4871,12.5627,very strong,1,AY
22551,PLASTERS IN TIN SPACEBOY,22554,PLASTERS IN TIN WOODLAND ANIMALS,0.0185,0.4781,12.5627,very strong,1,AY
23203,JUMBO BAG VINTAGE DOILY,23209,LUNCH BAG VINTAGE DOILY,0.015,0.4098,12.5263,very strong,1,AZ
23209,LUNCH BAG VINTAGE DOILY,23203,JUMBO BAG VINTAGE DOILY,0.015,0.4599,12.5263,very strong,1,AZ
22381,TOY TIDY PINK POLKADOT,22379,RECYCLING BAG RETROSPOT,0.0187,0.5714,12.2181,very strong,1,AY
22379,RECYCLING BAG RETROSPOT,22381,TOY TIDY PINK POLKADOT,0.0187,0.4008,12.2181,very strong,1,AY
22551,PLASTERS IN TIN SPACEBOY,22556,PLASTERS IN TIN CIRCUS PARADE,0.0169,0.4349,12.1848,very strong,1,AY
22556,PLASTERS IN TIN CIRCUS PARADE,22551,PLASTERS IN TIN SPACEBOY,0.0169,0.4724,12.1848,very strong,1,AY
22112,CHOCOLATE HOT WATER BOTTLE,22835,HOT WATER BOTTLE I AM SO POORLY,0.0183,0.3573,11.8517,very strong,1,AY
22835,HOT WATER BOTTLE I AM SO POORLY,22112,CHOCOLATE HOT WATER BOTTLE,0.0183,0.6059,11.8517,very strong,1,AZ
22328,ROUND SNACK BOXES SET OF 4 FRUITS,22326,ROUND SNACK BOXES SET OF4 WOODLAND,0.0169,0.4913,11.8429,very strong,1,AY
22326,ROUND SNACK BOXES SET OF4 WOODLAND,22328,ROUND SNACK BOXES SET OF 4 FRUITS,0.0169,0.4072,11.8429,very strong,1,AY
