StockCode,mae_naive,mae_mean,mae_hw,beats_naive,improvement,product,class
22423,91.15,64.97,79.99,True,12.2,REGENCY CAKESTAND 3 TIER,AX
85123A,345.54,392.64,285.42,True,17.4,WHITE HANGING HEART T-LIGHT HOLDER,AX
85099B,672.38,482.95,482.95,True,28.2,JUMBO BAG RED RETROSPOT,AX
47566,147.31,132.07,173.56,False,-17.8,PARTY BUNTING,AY
84879,424.62,252.16,240.32,True,43.4,ASSORTED COLOUR BIRD ORNAMENT,AY
22086,677.31,934.69,681.73,False,-0.7,PAPER CHAIN KIT 50'S CHRISTMAS,AZ
23166,79.46,722.81,722.9,False,-809.7,MEDIUM CERAMIC TOP STORAGE JAR,AZ
79321,229.46,191.57,188.96,True,17.7,CHILLI LIGHTS,AY
22197,1597.23,1469.94,1332.55,True,16.6,SMALL POPCORN HOLDER,AY
22386,289.23,270.87,233.64,True,19.2,JUMBO BAG PINK POLKADOT,AX
20725,171.85,100.2,117.84,True,31.4,LUNCH BAG RED RETROSPOT,AX
84347,460.08,292.12,483.44,False,-5.1,ROTATING SILVER ANGELS T-LIGHT HLDR,AZ
85099F,200.08,221.79,221.79,False,-10.9,JUMBO BAG STRAWBERRY,AX
48138,65.69,87.96,67.99,False,-3.5,DOORMAT UNION FLAG,AY
23084,1967.54,1945.39,1878.63,True,4.5,RABBIT NIGHT LIGHT,AZ
20685,35.92,39.47,39.47,False,-9.9,DOORMAT RED RETROSPOT,AY
21137,295.15,270.87,270.87,True,8.2,BLACK RECORD COVER FRAME,AY
21843,49.46,36.15,30.73,True,37.9,RED RETROSPOT CAKE STAND,AY
21931,79.69,79.28,81.2,False,-1.9,JUMBO STORAGE BAG SUKI,AX
22502,0.23,40.32,4.2,False,-1720.5,PICNIC BASKET WICKER SMALL,AY
21621,27.62,44.27,19.54,True,29.2,VINTAGE UNION JACK BUNTING,AY
15056N,73.38,57.87,51.44,True,29.9,EDWARDIAN PARASOL NATURAL,AY
22114,165.54,245.87,190.59,False,-15.1,HOT WATER BOTTLE TEA AND SYMPATHY,AY
85099C,166.77,125.58,125.58,True,24.7,JUMBO  BAG BAROQUE BLACK WHITE,AX
22910,442.85,477.47,433.87,True,2.0,PAPER CHAIN KIT VINTAGE CHRISTMAS,AZ
22112,123.46,191.95,128.56,False,-4.1,CHOCOLATE HOT WATER BOTTLE,AY
22411,126.69,134.58,131.91,False,-4.1,JUMBO SHOPPER VINTAGE RED PAISLEY,AX
82484,52.23,60.41,69.54,False,-33.1,WOOD BLACK BOARD ANT WHITE FINISH,AZ
22470,204.38,164.98,184.25,True,9.9,HEART OF WICKER LARGE,AY
22139,79.54,62.74,81.2,False,-2.1,RETROSPOT TEA SET CERAMIC 11 PC,AY
22178,324.15,271.5,271.02,True,16.4,VICTORIAN GLASS HANGING T-LIGHT,AY
20914,63.85,67.69,48.79,True,23.6,SET/5 RED RETROSPOT LID GLASS BOWLS,AX
21212,272.31,395.41,256.85,True,5.7,PACK OF 72 RETROSPOT CAKE CASES,AX
21733,182.23,107.33,149.08,True,18.2,RED HANGING HEART T-LIGHT HOLDER,AY
22090,29.15,96.1,58.96,False,-102.2,PAPER BUNTING RETROSPOT,AY
21181,1028.62,252.64,283.53,True,72.4,PLEASE ONE PERSON METAL SIGN,AY
22111,109.46,138.6,116.72,False,-6.6,SCOTTIE DOG HOT WATER BOTTLE,AY
21929,107.92,161.83,135.46,False,-25.5,JUMBO BAG PINK VINTAGE PAISLEY,AY
