StockCode,class,ABC,XYZ,weekly_demand,forecast_error,revenue,ROP_1w_90%,ROP_1w_95%,ROP_1w_99%,ROP_2w_90%,ROP_2w_95%,ROP_2w_99%,ROP_3w_90%,ROP_3w_95%,ROP_3w_99%,ROP_4w_90%,ROP_4w_95%,ROP_4w_99%,product
22423,AX,A,X,251.85,79.99,331084.27,354.0,384.0,438.0,649.0,690.0,767.0,933.0,984.0,1078.0,1212.0,1271.0,1380.0,REGENCY CAKESTAND 3 TIER
85123A,AX,A,X,920.37,285.42,261509.93,1286.0,1391.0,1585.0,2357.0,2507.0,2781.0,3394.0,3577.0,3913.0,4412.0,4623.0,5012.0,WHITE HANGING HEART T-LIGHT HOLDER
85099B,AX,A,X,877.32,482.95,182999.67,1496.0,1674.0,2003.0,2629.0,2882.0,3346.0,3703.0,4012.0,4581.0,4746.0,5103.0,5760.0,JUMBO BAG RED RETROSPOT
47566,AY,A,Y,277.99,173.56,148395.98,500.0,564.0,682.0,870.0,961.0,1128.0,1219.0,1330.0,1534.0,1556.0,1685.0,1921.0,PARTY BUNTING
84879,AY,A,Y,737.17,240.32,129667.56,1045.0,1134.0,1297.0,1909.0,2035.0,2266.0,2744.0,2898.0,3181.0,3564.0,3742.0,4069.0,ASSORTED COLOUR BIRD ORNAMENT
22086,AZ,A,Z,216.7,681.73,117869.44,1089.0,1342.0,1805.0,1667.0,2024.0,2680.0,2162.0,2598.0,3401.0,2612.0,3116.0,4044.0,PAPER CHAIN KIT 50'S CHRISTMAS
23166,AZ,A,Z,824.81,722.9,81700.92000000001,1750.0,2018.0,2509.0,2958.0,3336.0,4032.0,4077.0,4540.0,5392.0,5150.0,5685.0,6668.0,MEDIUM CERAMIC TOP STORAGE JAR
79321,AY,A,Y,130.52,188.96,80873.23000000001,372.0,442.0,571.0,603.0,702.0,884.0,810.0,932.0,1154.0,1006.0,1146.0,1403.0,CHILLI LIGHTS
22197,AY,A,Y,656.61,1332.55,79552.5,2362.0,2855.0,3761.0,3725.0,4423.0,5704.0,4924.0,5778.0,7348.0,6038.0,7024.0,8836.0,SMALL POPCORN HOLDER
22386,AX,A,X,346.33,233.64,76383.25,645.0,732.0,891.0,1116.0,1238.0,1463.0,1557.0,1707.0,1982.0,1983.0,2156.0,2474.0,JUMBO BAG PINK POLKADOT
20725,AX,A,X,382.91,117.84,71394.49,534.0,577.0,657.0,979.0,1041.0,1154.0,1410.0,1486.0,1624.0,1833.0,1921.0,2081.0,LUNCH BAG RED RETROSPOT
84347,AZ,A,Z,266.16,483.44,71353.95,885.0,1064.0,1393.0,1407.0,1660.0,2125.0,1870.0,2180.0,2749.0,2302.0,2660.0,3317.0,ROTATING SILVER ANGELS T-LIGHT HLDR
85099F,AX,A,X,354.66,221.79,69108.21,639.0,721.0,871.0,1111.0,1227.0,1440.0,1556.0,1698.0,1959.0,1986.0,2151.0,2452.0,JUMBO BAG STRAWBERRY
48138,AY,A,Y,95.83,67.99,67138.19,183.0,208.0,254.0,315.0,350.0,416.0,438.0,482.0,562.0,557.0,608.0,700.0,DOORMAT UNION FLAG
23084,AZ,A,Z,54.77,1878.63,66964.99,2459.0,3155.0,4432.0,3510.0,4493.0,6300.0,4329.0,5533.0,7746.0,5028.0,6419.0,8974.0,RABBIT NIGHT LIGHT
20685,AY,A,Y,97.1,39.47,66464.71,148.0,162.0,189.0,266.0,286.0,324.0,379.0,404.0,451.0,489.0,519.0,572.0,DOORMAT RED RETROSPOT
21137,AY,A,Y,149.11,270.87,65223.04,496.0,596.0,780.0,789.0,930.0,1191.0,1048.0,1221.0,1540.0,1290.0,1490.0,1859.0,BLACK RECORD COVER FRAME
21843,AY,A,Y,58.57,30.73,65189.95,98.0,109.0,130.0,173.0,189.0,218.0,244.0,264.0,300.0,313.0,336.0,377.0,RED RETROSPOT CAKE STAND
21931,AX,A,X,274.19,81.2,61565.11,378.0,408.0,463.0,695.0,738.0,816.0,1003.0,1055.0,1150.0,1305.0,1365.0,1475.0,JUMBO STORAGE BAG SUKI
