StockCode,product,class,ABC,XYZ,weekly_demand,forecast_error,reorder_point,lead_time_weeks,service_level
22423,REGENCY CAKESTAND 3 TIER,AX,A,X,251.85,79.99,354.0,1,90%
85123A,WHITE HANGING HEART T-LIGHT HOLDER,AX,A,X,920.37,285.42,1286.0,1,90%
85099B,JUMBO BAG RED RETROSPOT,AX,A,X,877.32,482.95,1496.0,1,90%
47566,PARTY BUNTING,AY,A,Y,277.99,173.56,500.0,1,90%
84879,ASSORTED COLOUR BIRD ORNAMENT,AY,A,Y,737.17,240.32,1045.0,1,90%
22086,PAPER CHAIN KIT 50'S CHRISTMAS,AZ,A,Z,216.7,681.73,1089.0,1,90%
23166,MEDIUM CERAMIC TOP STORAGE JAR,AZ,A,Z,824.81,722.9,1750.0,1,90%
79321,CHILLI LIGHTS,AY,A,Y,130.52,188.96,372.0,1,90%
22197,SMALL POPCORN HOLDER,AY,A,Y,656.61,1332.55,2362.0,1,90%
22386,JUMBO BAG PINK POLKADOT,AX,A,X,346.33,233.64,645.0,1,90%
20725,LUNCH BAG RED RETROSPOT,AX,A,X,382.91,117.84,534.0,1,90%
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,AZ,A,Z,266.16,483.44,885.0,1,90%
85099F,JUMBO BAG STRAWBERRY,AX,A,X,354.66,221.79,639.0,1,90%
48138,DOORMAT UNION FLAG,AY,A,Y,95.83,67.99,183.0,1,90%
23084,RABBIT NIGHT LIGHT,AZ,A,Z,54.77,1878.63,2459.0,1,90%
20685,DOORMAT RED RETROSPOT,AY,A,Y,97.1,39.47,148.0,1,90%
21137,BLACK RECORD COVER FRAME,AY,A,Y,149.11,270.87,496.0,1,90%
21843,RED RETROSPOT CAKE STAND,AY,A,Y,58.57,30.73,98.0,1,90%
21931,JUMBO STORAGE BAG SUKI,AX,A,X,274.19,81.2,378.0,1,90%
22502,PICNIC BASKET WICKER SMALL,AY,A,Y,40.55,4.2,46.0,1,90%
21621,VINTAGE UNION JACK BUNTING,AY,A,Y,70.66,19.54,96.0,1,90%
