sku,partner,during,baseline,ratio,gap_weeks,product_absent,product_partner
20712,20713,13.4,202.375,0.066,5,JUMBO BAG WOODLAND ANIMALS,JUMBO BAG OWLS
20712,21931,339.2,374.625,0.905,5,JUMBO BAG WOODLAND ANIMALS,JUMBO STORAGE BAG SUKI
20712,22386,390.8,504.375,0.775,5,JUMBO BAG WOODLAND ANIMALS,JUMBO BAG PINK POLKADOT
20713,20712,0.0,110.0,0.0,3,JUMBO BAG OWLS,JUMBO BAG WOODLAND ANIMALS
20713,21931,284.667,429.5,0.663,3,JUMBO BAG OWLS,JUMBO STORAGE BAG SUKI
20713,85099B,756.333,954.625,0.792,3,JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT
20713,20712,183.111,237.5,0.771,9,JUMBO BAG OWLS,JUMBO BAG WOODLAND ANIMALS
20713,21931,208.778,272.25,0.767,9,JUMBO BAG OWLS,JUMBO STORAGE BAG SUKI
20713,85099B,699.444,1033.0,0.677,9,JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT
21166,21175,0.0,126.0,0.0,3,COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN
21166,85152,107.667,194.125,0.555,3,COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN
21166,21181,0.0,276.875,0.0,3,COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN
21166,21175,100.667,212.375,0.474,3,COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN
21166,85152,0.333,159.625,0.002,3,COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN
21166,21181,0.0,295.375,0.0,3,COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN
21175,21166,7.6,205.875,0.037,5,GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN
21175,85152,100.6,209.75,0.48,5,GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN
21175,21181,0.0,276.875,0.0,5,GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN
21181,21166,40.786,333.75,0.122,14,PLEASE ONE PERSON METAL SIGN,COOK WITH WINE METAL SIGN
21181,21175,74.071,245.125,0.302,14,PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN
21181,85152,120.429,246.625,0.488,14,PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN
21181,21166,153.0,149.375,1.024,6,PLEASE ONE PERSON METAL SIGN,COOK WITH WINE METAL SIGN
21181,21175,102.5,171.875,0.596,6,PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN
21181,85152,163.333,147.125,1.11,6,PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN
21181,21166,0.0,227.0,0.0,3,PLEASE ONE PERSON METAL SIGN,COOK WITH WINE METAL SIGN
21181,21175,100.667,212.375,0.474,3,PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN
