StockCode,Description,returned_units,returned_value,return_lines,units,class,return_rate_pct
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,80995.0,AZ,100.0
23166,MEDIUM CERAMIC TOP STORAGE JAR,74494,77479.64,10,78033.0,AZ,95.46
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9381,330.45000000000005,6,31430.0,AZ,29.85
21088,SET/6 FRUIT SALAD PAPER CUPS,7140,572.52,2,16615.0,BZ,42.97
21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,911.04,1,15924.0,BZ,44.01
16047,POP ART PEN CASE & PENS,5184,414.72,1,10614.0,CZ,48.84
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,5040,387.36,2,11520.0,CZ,43.75
37340,MULTICOLOUR SPRING FLOWER MUG,4996,501.22,4,13671.0,BZ,36.54
16046,TEATIME PEN CASE & PENS,4632,389.03999999999996,2,10060.0,BZ,46.04
85160A,WHITE BIRD GARDEN DESIGN MUG,4320,561.6,1,8824.0,BZ,48.96
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,3940,1664.9199999999998,2,8313.0,AZ,47.4
20971,PINK BLUE FELT CRAFT TRINKET BOX,3867,4113.08,13,22309.0,AZ,17.33
16162L,THE KING GIFT BAG,3744,187.2,1,8101.0,CZ,46.22
21392,RED POLKADOT PUDDING BOWL,3648,474.24,1,7545.0,BZ,48.35
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3637,9387.1,134,94839.0,AX,3.83
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3159,6614.37,4,12980.0,AZ,24.34
21082,SET/20 FRUIT SALAD PAPER NAPKINS,3074,523.94,2,7187.0,BZ,42.77
85160B,BLACK BIRD GARDEN DESIGN MUG,2981,391.40999999999997,4,6156.0,CZ,48.42
37423,WHITE WITH BLACK CATS PLATE,2952,295.2,1,6168.0,CZ,47.86
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2520,6966.66,60,15097.0,AY,16.69
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,2513,3645.65,2,12236.0,AZ,20.54
21393,BLUE POLKADOT PUDDING BOWL,2496,324.48,1,5244.0,CZ,47.6
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2400,120.0,1,11397.0,CZ,21.06
37424,WHITE WITH BLACK CATS MUG,2112,274.56,1,5251.0,CZ,40.22
21175,GIN + TONIC DIET METAL SIGN,2035,3785.58,12,20721.0,AY,9.82
16053,POPART COL BALLPOINT PEN ASST,2000,60.0,1,4313.0,CZ,46.37
85109,PINK BOUDOIR T-LIGHT HOLDER,1872,131.04,1,4211.0,CZ,44.45
84270,ASSTD DESIGN BUBBLE GUM RING,1740,293.40000000000003,7,22996.0,AY,7.57
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1704,361.68,11,106379.0,AY,1.6
21279,VINTAGE KITCHEN PRINT FRUITS,1639,425.84999999999997,6,3527.0,BZ,46.47
47566B,TEA TIME PARTY BUNTING,1635,4490.5,11,6020.0,AY,27.16
21281,VINTAGE KITCHEN PRINT SEAFOOD,1536,384.0,1,3680.0,BZ,41.74
22920,HERB MARKER BASIL,1527,841.05,2,3481.0,BZ,43.87
20972,PINK CREAM FELT CRAFT TRINKET BOX,1497,1553.3899999999999,10,20553.0,AY,7.28
85006,SET 4 NURSERY DES ROUND BOXES,1480,564.4,9,3049.0,BZ,48.54
22273,FELTCRAFT DOLL MOLLY,1464,3562.8,9,7368.0,AZ,19.87
22423,REGENCY CAKESTAND 3 TIER,1452,16570.8,342,26519.0,AX,5.48
15034,PAPER POCKET TRAVELING FAN,1448,116.06,6,10237.0,BZ,14.14
37444A,YELLOW BREAKFAST CUP AND SAUCER,1309,172.98999999999998,2,2711.0,CZ,48.28
20975,12 PENCILS SMALL TUBE RED SPOTTY,1307,749.5500000000001,7,18116.0,AY,7.21
21280,VINTAGE KITCHEN PRINT VEGETABLES,1248,312.0,1,3333.0,BZ,37.44
21314,SMALL GLASS HEART TRINKET POT,1228,2296.8,68,11437.0,AY,10.74
10002,INFLATABLE POLITICAL GLOBE,1223,883.5500000000001,7,8676.0,AZ,14.1
20727,LUNCH BAG  BLACK SKULL.,1211,1778.95,45,26760.0,AY,4.53
21278,VINTAGE KITCHEN PRINT PUDDINGS,1208,320.4,3,2770.0,BZ,43.61
47587A,PINK FAIRY CAKE COASTER,1200,864.0,1,2706.0,CZ,44.35
22341,LOVE GARLAND PAINTED ZINC,1196,1858.2,9,3469.0,AZ,34.48
85099B,JUMBO BAG RED RETROSPOT,1191,2127.42,72,97350.0,AX,1.22
22670,FRENCH WC SIGN BLUE METAL,1160,1340.56,5,4434.0,AZ,26.16
20728,LUNCH BAG CARS BLUE,1140,1678.0,43,24644.0,AY,4.63
84847,FLORAL BATHROOM SET,1116,368.28,1,2332.0,CZ,47.86
10123G,ARMY CAMO WRAPPING TAPE,1104,66.24,1,2251.0,CZ,49.04
20829,GLITTER HANGING BUTTERFLY STRING,1094,1801.96,14,4828.0,AZ,22.66
79323W,WHITE CHERRY LIGHTS,1088,6421.1,126,3004.0,AZ,36.22
21877,HOME SWEET HOME MUG,1086,1176.82,23,14087.0,AY,7.71
21791,VINTAGE HEADS AND TAILS CARD GAME,1077,1156.25,10,17657.0,AY,6.1
20726,LUNCH BAG WOODLAND,1015,1497.95,38,22158.0,AY,4.58
22178,VICTORIAN GLASS HANGING T-LIGHT,1008,1262.94,43,40257.0,AY,2.5
21731,RED TOADSTOOL LED NIGHT LIGHT,990,1457.8999999999999,24,28929.0,AY,3.42
37444B,BLUE BREAKFAST CUP AND SAUCER,984,127.92,1,2010.0,CZ,48.96
16043,POP ART PUSH DOWN RUBBER,984,67.68,2,2145.0,CZ,45.87
23113,PANTRY CHOPPING BOARD,946,4803.06,6,1154.0,AZ,81.98
15036,ASSORTED COLOURS SILK FAN,929,644.03,14,44272.0,AY,2.1
22151,PLACE SETTING WHITE HEART,915,332.46000000000004,7,27710.0,AY,3.3
22147,FELTCRAFT BUTTERFLY HEARTS,904,1142.8000000000002,13,12868.0,AY,7.03
75049L,LARGE CIRCULAR MIRROR MOBILE,903,808.75,55,13992.0,AY,6.45
21679,SKULLS  STICKERS,900,652.6800000000001,5,4895.0,BZ,18.39
21915,RED  HARMONICA IN BOX,884,991.0,15,36382.0,AY,2.43
