month,ABC,units,revenue,skus
2009-11,A,96640,179773.23,562
2009-11,B,28214,49881.35,693
2009-11,C,20495,31903.07,1077
2009-12,A,159141,364236.97,581
2009-12,B,67242,104186.31,762
2009-12,C,55006,71122.04,1485
2010-01,A,199662,411688.44,590
2010-01,B,91972,123075.09,750
2010-01,C,99631,79087.28,1330
2010-02,A,211785,387668.41,588
2010-02,B,97521,99143.38,738
2010-02,C,73216,52932.89,1221
2010-03,A,330062,573937.53,671
2010-03,B,139442,145376.21,823
2010-03,C,74067,75159.56,1368
2010-04,A,260704,490439.91,668
2010-04,B,72781,107760.7,789
2010-04,C,23166,32970.59,1084
2010-05,A,312707,559394.29,697
2010-05,B,89954,134294.61,817
2010-05,C,47935,46797.09,1126
2010-06,A,286039,518655.02,705
2010-06,B,69171,99019.01,794
2010-06,C,23310,31489.87,1102
2010-07,A,242654,504763.45,744
2010-07,B,56283,78779.53,819
2010-07,C,18766,24867.74,963
2010-08,A,339845,606388.95,748
2010-08,B,116001,103200.44,848
2010-08,C,80782,42690.15,1074
2010-09,A,354838,686589.85,814
2010-09,B,132368,121195.83,858
2010-09,C,66945,33092.37,950
2010-10,A,423592,835013.35,847
2010-10,B,116931,149692.0,872
2010-10,C,38421,37574.75,1050
2010-11,A,629288,1366246.49,862
2010-11,B,145621,200303.58,914
2010-11,C,43011,49866.37,1209
2010-12,A,193523,492087.49,851
2010-12,B,52949,81520.17,855
2010-12,C,21169,22366.16,906
2011-01,A,335155,634044.86,839
2011-01,B,77858,106306.77,850
2011-01,C,30387,30583.04,886
2011-02,A,206229,424879.62,833
2011-02,B,60766,75264.47,795
2011-02,C,19744,17645.25,752
2011-03,A,256545,507178.97,832
2011-03,B,64018,87689.1,812
2011-03,C,21236,20337.52,756
2011-04,A,206611,405622.17,832
2011-04,B,61051,68561.15,807
2011-04,C,20504,17011.86,750
2011-05,A,338872,696707.48,873
2011-05,B,78821,110374.24,847
2011-05,C,20607,20784.36,767
2011-06,A,251131,559287.91,888
2011-06,B,73442,84807.43,861
2011-06,C,28300,20219.37,777
2011-07,A,269800,549990.65,903
2011-07,B,82373,94641.24,878
2011-07,C,38415,25666.35,843
2011-08,A,350359,682317.7,923
2011-08,B,94933,110410.58,905
2011-08,C,33286,26572.99,792
2011-09,A,363199,772485.34,925
2011-09,B,113509,137792.28,910
2011-09,C,44491,38044.5,839
2011-10,A,495680,1032079.4,931
2011-10,B,191298,240027.75,934
2011-10,C,63626,64363.93,988
2011-11,A,475669,1098251.82,923
2011-11,B,155688,192925.42,905
2011-11,C,49666,56358.46,1017
2011-12,A,187386,417872.68,863
2011-12,B,42620,50731.17,743
2011-12,C,15076,15663.46,680
