StockCode,weekly_demand,forecast_error,ABC,XYZ,class,revenue,ROP_1w_90%,ROP_1w_95%,ROP_1w_99%,ROP_2w_90%,ROP_2w_95%,ROP_2w_99%,ROP_3w_90%,ROP_3w_95%,ROP_3w_99%,ROP_4w_90%,ROP_4w_95%,ROP_4w_99%
22423,251.8494623655914,79.99299635287156,A,X,AX,331084.27,354.0,384.0,438.0,649.0,690.0,767.0,933.0,984.0,1078.0,1212.0,1271.0,1380.0
85123A,920.3655913978495,285.4167320994409,A,X,AX,261509.93,1286.0,1391.0,1585.0,2357.0,2507.0,2781.0,3394.0,3577.0,3913.0,4412.0,4623.0,5012.0
85099B,877.3225806451613,482.9537238821185,A,X,AX,182999.67,1496.0,1674.0,2003.0,2629.0,2882.0,3346.0,3703.0,4012.0,4581.0,4746.0,5103.0,5760.0
47566,277.98924731182797,173.5620077119261,A,Y,AY,148395.98,500.0,564.0,682.0,870.0,961.0,1128.0,1219.0,1330.0,1534.0,1556.0,1685.0,1921.0
84879,737.1720430107526,240.324560477405,A,Y,AY,129667.56,1045.0,1134.0,1297.0,1909.0,2035.0,2266.0,2744.0,2898.0,3181.0,3564.0,3742.0,4069.0
22086,216.69892473118279,681.7282426270899,A,Z,AZ,117869.44,1089.0,1342.0,1805.0,1667.0,2024.0,2680.0,2162.0,2598.0,3401.0,2612.0,3116.0,4044.0
23166,824.8064516129032,722.9003091369648,A,Z,AZ,81700.92000000001,1750.0,2018.0,2509.0,2958.0,3336.0,4032.0,4077.0,4540.0,5392.0,5150.0,5685.0,6668.0
79321,130.51612903225808,188.96114625465503,A,Y,AY,80873.23000000001,372.0,442.0,571.0,603.0,702.0,884.0,810.0,932.0,1154.0,1006.0,1146.0,1403.0
22197,656.6129032258065,1332.5453226529426,A,Y,AY,79552.5,2362.0,2855.0,3761.0,3725.0,4423.0,5704.0,4924.0,5778.0,7348.0,6038.0,7024.0,8836.0
22386,346.3333333333333,233.63583655393717,A,X,AX,76383.25,645.0,732.0,891.0,1116.0,1238.0,1463.0,1557.0,1707.0,1982.0,1983.0,2156.0,2474.0
20725,382.9139784946237,117.83753555635305,A,X,AX,71394.49,534.0,577.0,657.0,979.0,1041.0,1154.0,1410.0,1486.0,1624.0,1833.0,1921.0,2081.0
84347,266.16129032258067,483.44039078112826,A,Z,AZ,71353.95,885.0,1064.0,1393.0,1407.0,1660.0,2125.0,1870.0,2180.0,2749.0,2302.0,2660.0,3317.0
85099F,354.6559139784946,221.79074674427196,A,X,AX,69108.21,639.0,721.0,871.0,1111.0,1227.0,1440.0,1556.0,1698.0,1959.0,1986.0,2151.0,2452.0
48138,95.82795698924731,67.98962991731497,A,Y,AY,67138.19,183.0,208.0,254.0,315.0,350.0,416.0,438.0,482.0,562.0,557.0,608.0,700.0
23084,54.774193548387096,1878.6290184210955,A,Z,AZ,66964.99,2459.0,3155.0,4432.0,3510.0,4493.0,6300.0,4329.0,5533.0,7746.0,5028.0,6419.0,8974.0
20685,97.09677419354838,39.46653416335432,A,Y,AY,66464.71,148.0,162.0,189.0,266.0,286.0,324.0,379.0,404.0,451.0,489.0,519.0,572.0
21137,149.10752688172042,270.8651796732274,A,Y,AY,65223.04,496.0,596.0,780.0,789.0,930.0,1191.0,1048.0,1221.0,1540.0,1290.0,1490.0,1859.0
