StockCode,revenue,units,weeks_active,mean_wk,sd_wk,cv,cum_share,ABC,XYZ,class,product
22423,331084.27,26519,90,294.65555555555557,160.01279170152253,0.7018167003782396,0.016806536067937666,A,X,AX,REGENCY CAKESTAND 3 TIER
85123A,261509.93,94839,104,911.9134615384615,558.1274710957928,0.6090903445574881,0.030081331849292223,A,X,AX,WHITE HANGING HEART T-LIGHT HOLDER
85099B,182999.67,97350,104,936.0576923076923,468.78338357598903,0.4983925427149961,0.03937078119182877,A,X,AX,JUMBO BAG RED RETROSPOT
23843,168469.6,80995,1,80995.0,0.0,10.14889156509222,0.04792265352557338,A,Z,AZ,"PAPER CRAFT , LITTLE BIRDIE"
47566,148395.98,28216,103,273.94174757281553,241.3486951525075,0.8864734999909838,0.055455546556725105,A,Y,AY,PARTY BUNTING
84879,129667.56,80285,104,771.9711538461538,700.120467535933,0.902554933411166,0.06203774547539156,A,Y,AY,ASSORTED COLOUR BIRD ORNAMENT
22086,117869.44,35121,84,418.10714285714283,599.4737454756712,1.659210535509609,0.06802104693114364,A,Z,AZ,PAPER CHAIN KIT 50'S CHRISTMAS
23166,81700.92000000001,78033,32,2438.53125,13098.109459702451,9.648083202835076,0.07216835800322716,A,Z,AZ,MEDIUM CERAMIC TOP STORAGE JAR
79321,80873.23000000001,15918,97,164.10309278350516,195.3200623621864,1.255141653103596,0.07627365378464744,A,Y,AY,CHILLI LIGHTS
22197,79552.5,88537,104,851.3173076923077,968.615198720669,1.1323006566254181,0.08031190652478702,A,Y,AY,SMALL POPCORN HOLDER
22386,76383.25,39466,97,406.8659793814433,241.22791906143019,0.6672098240612744,0.08418928144843199,A,X,AX,JUMBO BAG PINK POLKADOT
20725,71394.49,40505,104,389.47115384615387,168.9323387695525,0.4316576481149135,0.08781341638917385,A,X,AX,LUNCH BAG RED RETROSPOT
84347,71353.95,31430,77,408.1818181818182,1203.6772356241554,3.455890665335366,0.09143549343398429,A,Z,AZ,ROTATING SILVER ANGELS T-LIGHT HLDR
85099F,69108.21,37113,103,360.3203883495146,250.67763900652753,0.7026181073421489,0.0949435719783247,A,X,AX,JUMBO BAG STRAWBERRY
48138,67138.19,10095,102,98.97058823529412,97.61212957032804,1.0008467009725657,0.09835164815111012,A,Y,AY,DOORMAT UNION FLAG
23084,66964.99,30788,31,993.1612903225806,1551.778551571802,3.2063663315591766,0.10175093232647757,A,Z,AZ,RABBIT NIGHT LIGHT
20685,66464.71,9789,103,95.03883495145631,87.98472709823521,0.9309619852871115,0.10512482123355255,A,Y,AY,DOORMAT RED RETROSPOT
21137,65223.04,18748,99,189.37373737373738,241.49118316852568,1.3196734652149416,0.10843568035174787,A,Y,AY,BLACK RECORD COVER FRAME
21843,65189.95,6155,104,59.18269230769231,54.92709456136334,0.9236211128583809,0.1117448597517298,A,Y,AY,RED RETROSPOT CAKE STAND
