StockCode,week,units,revenue,orders
10002,2009-11-30,141,119.85,10
10002,2009-12-07,24,21.25,4
10002,2009-12-14,37,32.3,3
10002,2009-12-21,14,12.75,3
10002,2010-01-04,15,12.75,2
10002,2010-01-11,191,162.35,4
10002,2010-01-18,41,35.66,5
10002,2010-01-25,44,38.209999999999994,6
10002,2010-02-01,16,14.41,3
10002,2010-02-08,43,36.55,3
10002,2010-02-15,37,32.26,4
10002,2010-02-22,161,136.85,5
10002,2010-03-01,456,338.84,6
10002,2010-03-08,28,27.04,3
10002,2010-03-15,25,21.25,2
10002,2010-03-22,85,72.25,4
10002,2010-03-29,84,65.16,4
10002,2010-04-05,747,540.05,7
10002,2010-04-12,47,39.949999999999996,4
10002,2010-04-19,267,200.95,4
10002,2010-04-26,35,32.18,7
10002,2010-05-03,162,134.57999999999998,8
10002,2010-05-10,1076,817.0,6
10002,2010-05-17,164,139.39999999999998,7
10002,2010-05-24,63,66.50999999999999,12
10002,2010-05-31,89,78.08,8
10002,2010-06-07,128,113.78,12
10002,2010-06-14,205,174.25,6
10002,2010-06-21,25,24.49,7
10002,2010-06-28,36,30.599999999999998,7
10002,2010-07-05,129,116.94,6
10002,2010-07-12,33,28.05,4
10002,2010-07-19,271,204.35,7
10002,2010-07-26,69,58.65,6
10002,2010-08-02,236,175.41,6
10002,2010-08-09,65,56.87,8
10002,2010-08-16,2,3.32,2
10002,2010-08-23,272,205.2,5
10002,2010-08-30,1,0.85,1
10002,2010-09-06,44,37.4,5
10002,2010-09-13,33,28.86,4
10002,2010-09-20,128,116.89999999999999,7
10002,2010-09-27,449,330.46,6
10002,2010-10-04,48,40.8,3
10002,2010-10-11,487,371.66999999999996,10
10002,2010-10-18,47,39.949999999999996,5
10002,2010-10-25,52,44.199999999999996,3
10002,2010-11-01,170,144.5,10
10002,2010-11-08,4,3.4,1
10002,2010-11-15,718,542.85,14
10002,2010-11-22,51,46.589999999999996,10
10002,2010-11-29,91,83.01999999999998,9
10002,2010-12-06,138,127.02,14
10002,2010-12-13,41,38.9,8
10002,2010-12-20,2,3.32,1
10002,2011-01-03,73,62.86,3
10002,2011-01-10,42,35.699999999999996,5
10002,2011-01-17,76,65.38,8
10002,2011-01-24,17,15.23,3
10002,2011-01-31,133,113.05,3
10002,2011-02-07,1,0.85,1
10002,2011-02-14,14,13.459999999999999,3
10002,2011-02-21,36,30.599999999999998,2
10002,2011-02-28,4,4.96,2
10002,2011-03-07,2,3.26,1
10002,2011-03-14,11,10.129999999999999,3
10002,2011-03-21,11,9.35,2
10002,2011-03-28,126,107.1,3
10002,2011-04-11,62,52.699999999999996,1
10002,2011-04-18,1,0.85,1
10002R,2009-11-30,1,5.17,1
10002R,2009-12-14,2,10.34,1
10002R,2010-01-25,1,5.06,1
10080,2009-11-30,4,3.4,2
10080,2010-07-26,1,0.85,1
10080,2010-09-13,6,5.1,1
10080,2010-11-15,1,0.85,1
10080,2011-02-21,2,1.7,1
10080,2011-06-20,48,18.72,1
10080,2011-06-27,12,4.68,1
10080,2011-07-04,12,4.68,1
10080,2011-07-25,12,4.68,1
10080,2011-08-01,48,18.72,3
10080,2011-08-22,12,4.68,1
10080,2011-09-05,36,14.04,2
10080,2011-09-19,12,4.68,1
10080,2011-09-26,12,4.68,1
10080,2011-10-10,4,1.56,2
10080,2011-10-24,2,0.78,1
10080,2011-10-31,24,9.36,1
10080,2011-11-07,24,9.36,1
10080,2011-11-14,16,6.24,2
10080,2011-11-21,27,10.530000000000001,2
10109,2009-11-30,4,1.68,1
10120,2009-11-30,100,21.0,3
10120,2009-12-07,8,2.56,4
10120,2009-12-14,6,2.14,4
10120,2009-12-21,1,0.43,1
10120,2010-01-04,31,6.51,2
10120,2010-01-11,1,0.43,1
10120,2010-02-08,4,1.72,1
10120,2010-02-15,1,0.43,1
10120,2010-03-01,62,13.02,3
10120,2010-03-08,6,1.26,1
10120,2010-03-29,30,6.3,1
10120,2010-04-26,30,6.3,1
10120,2010-05-17,4,0.84,1
10120,2010-06-07,30,6.3,1
10120,2010-07-05,3,0.63,1
10120,2010-09-13,9,1.8900000000000001,2
10120,2010-10-04,30,6.3,1
10120,2010-10-11,30,6.3,1
10120,2010-10-25,11,2.31,2
10120,2010-11-01,18,3.7800000000000002,3
10120,2010-11-15,2,0.42,1
10120,2010-11-22,45,9.450000000000001,7
10120,2010-11-29,13,2.73,3
10120,2010-12-06,13,2.73,2
10120,2011-02-14,30,6.3,1
10120,2011-02-28,11,2.31,1
10120,2011-03-07,16,3.36,2
10120,2011-03-28,2,0.42,1
10120,2011-05-09,1,0.21,1
10120,2011-05-16,2,0.42,1
10120,2011-07-04,5,1.05,1
10120,2011-08-01,5,1.05,1
10120,2011-08-22,30,6.3,1
10120,2011-08-29,3,0.63,1
10120,2011-09-19,1,0.21,1
10120,2011-09-26,6,1.26,2
10120,2011-10-03,5,1.05,1
10120,2011-10-17,5,1.05,1
10120,2011-10-31,38,7.98,5
10120,2011-11-14,6,1.26,1
10120,2011-11-21,1,0.21,1
10120,2011-11-28,10,2.1,2
10123C,2009-11-30,4,4.550000000000001,2
10123C,2009-12-07,16,11.700000000000001,5
10123C,2009-12-14,124,69.73,6
10123C,2010-01-11,3,3.21,2
10123C,2010-01-18,13,9.08,2
10123C,2010-01-25,14,10.360000000000001,2
10123C,2010-02-08,1,0.65,1
10123C,2010-02-15,12,7.800000000000001,1
10123C,2010-03-08,1,1.28,1
10123C,2010-03-15,12,9.06,2
10123C,2010-03-22,5,3.88,2
10123C,2010-04-05,1,1.28,1
10123C,2010-04-19,2,1.3,1
10123C,2010-04-26,13,9.08,2
10123C,2010-05-03,1,1.28,1
10123C,2010-05-10,12,7.800000000000001,1
10123C,2010-05-17,1,0.65,1
10123C,2010-05-24,37,24.680000000000003,3
10123C,2010-05-31,1,1.28,1
10123C,2010-06-21,1,0.65,1
10123C,2010-07-05,1,0.65,1
10123C,2010-07-12,2,1.3,2
10123C,2010-08-09,147,11.22,3
10123C,2010-08-23,17,11.05,2
10123C,2010-08-30,12,7.800000000000001,1
10123C,2010-09-13,24,15.600000000000001,2
10123C,2010-09-27,145,9.290000000000001,2
10123C,2010-10-11,2,1.3,1
10123C,2010-10-18,1,0.65,1
10123C,2010-10-25,1,0.65,1
10123C,2010-11-01,16,10.400000000000002,3
10123C,2010-11-15,6,3.9000000000000004,3
10123C,2010-11-29,1,0.65,1
10123C,2011-02-28,3,1.9500000000000002,1
10123C,2011-03-28,1,0.65,1
10123G,2009-11-30,2,3.4,1
10123G,2010-07-12,6,3.9000000000000004,2
10123G,2010-07-26,12,7.800000000000001,1
10123G,2010-08-09,1104,66.24,1
10123G,2010-09-27,1105,66.89,2
10123G,2010-10-25,1,0.65,1
10123G,2010-11-01,9,6.86,4
10123G,2010-11-08,1,1.66,1
10123G,2010-11-15,1,0.65,1
10123G,2010-11-22,1,1.66,1
10123G,2010-11-29,9,5.8500000000000005,1
10124A,2010-03-15,3,1.26,1
10124A,2010-04-05,1,0.42,1
10124A,2010-05-31,3,1.26,1
10124A,2010-06-28,2,0.84,1
10124A,2010-08-09,5,2.1,1
10124A,2010-09-06,9,3.7800000000000002,2
10124A,2010-09-13,9,3.78,1
10124A,2010-09-20,3,1.26,1
10124A,2010-09-27,1,0.42,1
10124A,2010-10-18,3,1.26,1
10124A,2010-11-15,3,1.26,2
10124A,2010-12-06,4,1.68,1
10124A,2011-02-07,3,1.26,1
10124A,2011-03-14,4,1.68,1
10124A,2011-03-21,1,0.42,1
10124A,2011-10-31,4,1.68,1
10124G,2010-05-10,1,0.84,1
10124G,2010-05-17,1,0.42,1
10124G,2010-05-31,3,1.26,1
10124G,2010-08-09,5,2.1,1
10124G,2010-09-06,4,1.68,1
10124G,2010-09-27,2,0.84,1
10124G,2010-11-29,5,2.1,1
10124G,2011-03-14,4,1.68,1
10124G,2011-09-26,4,1.68,1
10124G,2011-10-31,4,1.68,1
10125,2009-11-30,59,51.0,8
10125,2009-12-07,44,37.4,4
10125,2009-12-14,25,23.8,3
10125,2010-01-11,2,3.32,1
10125,2010-01-18,1,1.66,1
10125,2010-02-01,2,1.7,1
10125,2010-02-08,2,3.32,2
10125,2010-02-15,41,35.66,3
10125,2010-03-01,40,34.0,2
10125,2010-03-08,20,17.0,1
10125,2010-03-15,2,3.32,1
10125,2010-03-22,6,5.1,1
10125,2010-03-29,42,53.519999999999996,2
10125,2010-04-05,20,17.0,1
10125,2010-05-10,20,17.0,1
10125,2010-06-07,21,17.85,2
10125,2010-06-14,22,19.51,3
10125,2010-06-21,21,17.85,2
10125,2010-06-28,20,17.0,1
10125,2010-07-05,2,1.7,1
10125,2010-07-12,3,2.55,1
10125,2010-07-19,60,51.0,2
10125,2010-07-26,20,17.0,1
10125,2010-08-30,20,17.0,1
10125,2010-09-06,4,3.4,1
10125,2010-09-13,21,17.85,2
10125,2010-09-20,20,17.0,1
10125,2010-10-04,20,17.0,1
10125,2010-10-11,28,25.42,5
10125,2010-10-18,42,35.7,3
10125,2010-10-25,31,26.349999999999998,5
10125,2010-11-01,42,35.7,3
10125,2010-11-08,21,18.66,2
10125,2010-11-15,44,39.83,5
10125,2010-11-22,22,20.32,2
10125,2010-11-29,2,1.7,1
10125,2010-12-06,43,38.17,4
10125,2010-12-13,102,45.32,5
10125,2010-12-20,7,5.67,1
10125,2011-01-03,98,48.18,7
10125,2011-01-10,79,40.43000000000001,11
10125,2011-01-17,36,21.040000000000003,10
10125,2011-02-28,23,20.33,3
10125,2011-03-21,25,22.029999999999998,3
10125,2011-03-28,66,56.1,5
10125,2011-04-04,21,17.85,2
10125,2011-04-11,40,34.0,2
10125,2011-04-18,20,17.0,1
10125,2011-04-25,1,0.85,1
10125,2011-05-02,5,4.25,3
10125,2011-05-09,100,85.0,1
10125,2011-05-16,2,1.7,2
10125,2011-05-30,1,0.85,1
10125,2011-06-06,12,10.2,1
10125,2011-06-20,2,3.26,1
10125,2011-06-27,4,3.4,1
10125,2011-07-04,28,24.58,4
10125,2011-07-11,25,21.25,2
10125,2011-07-18,120,102.0,2
10125,2011-08-08,40,34.0,1
10125,2011-08-15,20,17.0,1
10125,2011-08-22,25,21.25,2
10125,2011-09-05,20,17.0,1
10125,2011-09-26,197,167.45,4
10125,2011-10-03,4,4.18,2
10125,2011-10-17,20,17.0,1
10125,2011-10-24,20,17.0,1
10125,2011-10-31,2,1.7,1
10125,2011-11-14,60,51.0,1
10125,2011-11-28,6,5.1,1
10125,2011-12-05,20,17.0,1
10133,2009-11-30,85,73.1,8
10133,2009-12-07,48,40.800000000000004,5
10133,2009-12-14,21,17.85,3
10133,2010-01-04,150,108.0,1
10133,2010-01-18,2,2.51,2
10133,2010-01-25,10,8.5,1
10133,2010-02-15,52,49.06,5
10133,2010-02-22,50,42.5,2
10133,2010-03-01,6,5.1,2
10133,2010-03-08,16,18.459999999999997,3
10133,2010-03-15,10,8.5,1
10133,2010-03-22,6,5.1,2
10133,2010-03-29,3,2.55,1
10133,2010-04-05,20,17.0,2
10133,2010-04-12,1,0.85,1
10133,2010-04-19,10,7.199999999999999,1
10133,2010-04-26,14,11.9,2
10133,2010-05-03,6,9.959999999999999,1
10133,2010-05-10,60,51.0,4
10133,2010-05-24,20,15.7,2
