StockCode,model,smoothing_level_alpha,initial_level,sse,aic,n_train_weeks,train_start,train_end,converged,mae_naive,mae_mean,mae_hw,beats_naive,product,ABC,XYZ,class
22423,SimpleExponentialSmoothing,0.4603,0.0,2000146.6,931.8,93,2009-11-30,2011-09-05,True,91.15384615384616,64.9652605459057,79.99299635287156,True,REGENCY CAKESTAND 3 TIER,A,X,AX
85123A,SimpleExponentialSmoothing,0.0821,1175.89,29786869.0,1183.0,93,2009-11-30,2011-09-05,True,345.53846153846155,392.6377171215881,285.4167320994409,True,WHITE HANGING HEART T-LIGHT HOLDER,A,X,AX
85099B,SimpleExponentialSmoothing,0.0,877.32,17887872.6,1135.5,93,2009-11-30,2011-09-05,True,672.3846153846154,482.9528535980149,482.9537238821185,True,JUMBO BAG RED RETROSPOT,A,X,AX
47566,SimpleExponentialSmoothing,0.3784,36.1,3319727.8,978.9,93,2009-11-30,2011-09-05,True,147.30769230769232,132.0694789081886,173.5620077119261,False,PARTY BUNTING,A,Y,AY
84879,SimpleExponentialSmoothing,0.2159,948.19,49954072.7,1231.0,93,2009-11-30,2011-09-05,True,424.61538461538464,252.16459884201825,240.324560477405,True,ASSORTED COLOUR BIRD ORNAMENT,A,Y,AY
22086,SimpleExponentialSmoothing,0.9829,2036.13,7084581.3,1049.4,93,2009-11-30,2011-09-05,True,677.3076923076923,934.6856906534324,681.7282426270899,False,PAPER CHAIN KIT 50'S CHRISTMAS,A,Z,AZ
23166,SimpleExponentialSmoothing,0.0,825.87,5445127165.4,1667.3,93,2009-11-30,2011-09-05,True,79.46153846153847,722.8064516129033,722.9003091369648,False,MEDIUM CERAMIC TOP STORAGE JAR,A,Z,AZ
79321,SimpleExponentialSmoothing,0.2221,87.51,2472811.2,951.5,93,2009-11-30,2011-09-05,True,229.46153846153845,191.56823821339952,188.96114625465503,True,CHILLI LIGHTS,A,Y,AY
22197,SimpleExponentialSmoothing,0.1522,299.33,49739068.3,1230.6,93,2009-11-30,2011-09-05,True,1597.2307692307693,1469.942928039702,1332.5453226529426,True,SMALL POPCORN HOLDER,A,Y,AY
22386,SimpleExponentialSmoothing,0.2166,48.29,4235433.1,1001.6,93,2009-11-30,2011-09-05,True,289.2307692307692,270.87179487179486,233.6358365539372,True,JUMBO BAG PINK POLKADOT,A,X,AX
